Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fecha;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;20/12/2019;2342294;213119;12870;2607;2129175;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;23/12/2019;1063370;1092491;5940;13855;-29121;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;24/12/2019;0;56614;0;720;-56614;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;26/12/2019;3296914;5985368;18485;75444;-2688454;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;27/12/2019;545466;994209;3060;15160;-448743;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;30/12/2019;2333539;18891157;13090;235643;-16557618;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;31/12/2019;0;649815;0;8195;-649815;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;2/1/2020;1103413;23710;6185;1120;1079703;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;3/1/2020;8658393;9066921;48545;105290;-408528;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;6/1/2020;3532927;4256164;20070;-3614;-723237;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;7/1/2020;5795968;0;32920;0;5795968;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;8/1/2020;6355203;347178;35410;3020;6008025;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;9/1/2020;10221901;341167;56990;4960;9880734;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;10/1/2020;9938791;0;56150;-24400;9938791;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;13/1/2020;2567872;178826;13970;2105;2389046;184
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;14/1/2020;9909685;25005;55870;165;9884680;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;15/1/2020;10284765;-1282;57450;-5;10286047;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;16/1/2020;6216679;111685;33848;1505;6104994;184
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;17/1/2020;5171130;-2100;29120;-3965;5173230;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;20/1/2020;5662160;1039196;31875;12385;4622964;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;21/1/2020;2809345;0;15800;-1040;2809345;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;22/1/2020;5261183;300425;29620;3321;4960758;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;23/1/2020;2766711;29373;15663;157;2737338;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;24/1/2020;2714833;0;15570;0;2714833;174
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;27/1/2020;5285663;362431;30295;4306;4923232;174
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;28/1/2020;350296;-1259;1930;-15;351555;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;29/1/2020;125586;6585212;704;79707;-6459626;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;30/1/2020;355720;8569337;1994;101890;-8213617;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Enero;31/1/2020;697433;7495319;3970;87965;-6797886;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;3/2/2020;6668224;427365;37930;5085;6240859;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;4/2/2020;6771882;168384;38510;1940;6603498;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;5/2/2020;3269572;381144;18375;4164;2888428;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;6/2/2020;11840492;96146;66845;125;11744346;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;7/2/2020;1576722;-5046;8890;-780;1581768;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;10/2/2020;851295;1501214;4750;13385;-649919;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;11/2/2020;3528270;83712;19850;944;3444558;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;12/2/2020;32956;53988;180;445;-21032;183
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;13/2/2020;8027428;171784;45038;1840;7855644;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;14/2/2020;103975;2296623;590;24955;-2192648;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;15/2/2020;3037620;0;17270;0;3037620;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;17/2/2020;1385912;357605;7850;3875;1028307;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;18/2/2020;8078383;494783;45910;5369;7583600;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;19/2/2020;517183;-1942;2844;15;519125;182
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;20/2/2020;801468;6822579;4585;73350;-6021111;175
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;21/2/2020;630341;296620;3519;3220;333721;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;26/2/2020;2049038;112415;11633;1170;1936623;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;27/2/2020;1717575;7539072;9182;81980;-5821497;187
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Febrero;28/2/2020;163874;10128513;940;109395;-9964639;174
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;2/3/2020;4412079;916552;24970;9438;3495527;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;3/3/2020;87095;211158;500;2252;-124063;174
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;4/3/2020;4843162;1344542;27060;4865;3498620;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;5/3/2020;4920275;152549;27519;1650;4767726;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;6/3/2020;4974750;774880;27935;-2165;4199870;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;7/3/2020;2115077;0;11920;0;2115077;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;9/3/2020;4995860;225466;28220;-725;4770394;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;10/3/2020;5081104;3287941;28890;35428;1793163;176
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;11/3/2020;2105925;1379618;11809;14776;726307;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;12/3/2020;2446588;1032996;13484;11174;1413592;181
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;13/3/2020;7338759;6481088;41430;72260;857671;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;14/3/2020;0;861398;0;9290;-861398;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;16/3/2020;4038844;9743872;22710;104545;-5705028;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;17/3/2020;4682296;2150252;26147;87555;2532044;179
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;18/3/2020;13952335;3605695;78820;38950;10346640;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;19/3/2020;10995210;141004;62090;490;10854206;177
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2020;Marzo;20/3/2020;4630219;4856360;26065;61800;-226141;178
